// MAR script block 1B0000
// One record per line: @<rom offset> <text>
// <XX> is a raw control byte. Text is re-encoded to Shift-JIS at build time;
// a line may not grow past its original byte length.
// Anything after // is a comment and never reaches the ROM.

@1B2BFC フレイムボール　ＣＬ４  // fureimubo-ru ???
@1B8EFC ダミー  // dami-
@1B8F1E ダミー  // dami-
@1B8F7C ダミー  // dami-
@1B8F9E ダミー  // dami-
@1B8FFC ダミー  // dami-
@1B901E ダミー  // dami-
@1B907C ダミー  // dami-
@1B909E ダミー  // dami-
@1B90FC ダミー  // dami-
@1B911E ダミー  // dami-
@1B917C ダミー  // dami-
@1B919E ダミー  // dami-
@1B91FC ダミー  // dami-
@1B921E ダミー  // dami-
@1B927C ダミー  // dami-
@1B929E ダミー  // dami-
@1B92FC ダミー  // dami-
@1B931E ダミー  // dami-
@1B937C ダミー  // dami-
@1B939E ダミー  // dami-
@1B93FC ダミー  // dami-
@1B941E ダミー  // dami-
@1B947C ダミー  // dami-
@1B949E ダミー  // dami-
@1B94FC ダミー  // dami-
@1B951E ダミー  // dami-
@1B957C ダミー  // dami-
@1B959E ダミー  // dami-
@1B95FC ダミー  // dami-
@1B961E ダミー  // dami-
@1B967C ダミー  // dami-
@1B969E ダミー  // dami-
@1B96FC ダミー  // dami-
@1B971E ダミー  // dami-
@1B977C ダミー  // dami-
@1B979E ダミー  // dami-
@1B97FC ダミー  // dami-
@1B981E ダミー  // dami-
@1B987C ダミー  // dami-
@1B989E ダミー  // dami-
@1B98FC ダミー  // dami-
@1B991E ダミー  // dami-
@1B997C ダミー  // dami-
@1B999E ダミー  // dami-
@1B99FC ダミー  // dami-
@1B9A1E ダミー  // dami-
@1B9A7C ダミー  // dami-
@1B9A9E ダミー  // dami-
@1B9AFC ダミー  // dami-
@1B9B1E ダミー  // dami-
@1B9B7C ダミー  // dami-
@1B9B9E ダミー  // dami-
@1B9BFC ダミー  // dami-
@1B9C1E ダミー  // dami-
@1B9C7C ダミー  // dami-
@1B9C9E ダミー  // dami-
@1B9CFC ダミー  // dami-
@1B9D1E ダミー  // dami-
@1B9D7C ダミー  // dami-
@1B9D9E ダミー  // dami-
@1B9DFC ダミー  // dami-
@1B9E1E ダミー  // dami-
@1B9E7C ダミー  // dami-
@1B9E9E ダミー  // dami-
@1B9EFC ダミー  // dami-
@1B9F1E ダミー  // dami-
@1B9F7C ビッグバッボ  // biggubabbo
@1B9F9E 巨大化したバッボを前にふりおろす  // EN: Swings an enlarged Babbo down in front.
@1B9FFC ハンマーアーム  // hanma-a-mu
@1BA01E 腕を鉄球にしてアタック  // EN: Turns the arm into an iron ball and attacks.
@1BA07C ダガーアーム  // daga-a-mu
@1BA09E 腕を剣にして斬る  // EN: Turns the arm into a sword and slashes.
@1BA0FC バブルランチャー  // babururancha-
@1BA11E シャボン玉ばくだんを発射する  // EN: Fires bubble bombs.
@1BA17C ガーゴイル　ＣＬ４  // ga-goiru ???
@1BA19E ガーゴイルのパンチがさくれつ  // ga-goirunopanchigasakuretsu
@1BA1FC ガーゴイル　ＣＬ５  // ga-goiru ???
@1BA21E ガーゴイルがビームをはなつ  // ga-goirugabi-muwohanatsu
@1BA27C ガーゴイル　ＳＰ  // ga-goiru ??
@1BA29E すごいガーゴイル！  // sugoiga-goiru!
@1BA2FC アリス  // arisu
@1BA31E ダークネス効果を消して体力回復  // EN: Removes Darkness effects and restores HP.
@1BA37C ガトリングバッボ  // gatoringubabbo
@1BA39E 小さなバッボを連射する  // EN: Rapidly fires small Babbos.
@1BA3FC アーマーストーン　ＣＬ１  // a-ma-suto-n ???
@1BA41E リングアーマーの一撃  // EN: Ring Armor delivers a strike.
@1BA47C アーマーストーン　ＣＬ２  // a-ma-suto-n ???
@1BA49E リングアーマーの連続攻撃  // EN: Ring Armor attacks repeatedly.
@1BA4FC ５ダガーストーン  // ?daga-suto-n
@1BA51E ５本のダガーを前に飛ばす  // EN: Launches five daggers forward.
@1BA57C １０ダガーストーン  // ??daga-suto-n
@1BA59E １０本のダガーを前に飛ばす  // EN: Launches ten daggers forward.
@1BA5FC ２０ダガーストーン  // ??daga-suto-n
@1BA61E ２０本のダガーを前後に飛ばす  // EN: Launches twenty daggers forward and backward.
@1BA67C ブレードストーン  // bure-dosuto-n
@1BA69E 大きな剣が敵を斬る  // EN: A large sword slashes the enemy.
@1BA6FC メルトアイスストーン  // merutoaisusuto-n
@1BA71E 熱い空気を広げる  // EN: Spreads hot air.
@1BA77C 癒しの天使石　ＣＬ１  // EN: Healing Angel Stone CL1
@1BA79E 使用者の体力を少し回復する  // EN: Restores a little of the user's HP.
@1BA7FC 癒しの天使石　ＣＬ２  // EN: Healing Angel Stone CL2
@1BA81E 使用者の体力をかなり回復する  // EN: Restores a large amount of the user's HP.
@1BA87C パワーストーン　ＣＬ１  // pawa-suto-n ???
@1BA89E 腕力がすこし強くなる  // EN: Slightly increases physical strength.
@1BA8FC パワーストーン　ＣＬ２  // pawa-suto-n ???
@1BA91E 腕力がかなり強くなる  // EN: Greatly increases physical strength.
@1BA97C パワーストーン　ＣＬ３  // pawa-suto-n ???
@1BA99E 腕力がすごく強くなる  // EN: Dramatically increases physical strength.
@1BA9FC ナイフストーン  // naifusuto-n
@1BAA1E 前向きにナイフで刺す  // EN: Stabs forward with a knife.
@1BAA7C クラブストーン  // kurabusuto-n
@1BAA9E 前向きにこん棒でなぐる  // EN: Strikes forward with a club.
@1BAAFC ソードストーン  // so-dosuto-n
@1BAB1E 前向きに剣で斬る  // EN: Slashes forward with a sword.
@1BAB7C アックスストーン  // akkususuto-n
@1BAB9E 前向きにオノをふりおろす  // EN: Swings an axe down in front.
@1BABFC カタナストーン  // katanasuto-n
@1BAC1E 前向きに日本刀で斬る  // EN: Slashes forward with a katana.
@1BAC7C ウォーターナイフストーン  // uo-ta-naifusuto-n
@1BAC9E 前向きに水属性のナイフで刺す  // EN: Stabs forward with a water-element knife.
@1BACFC ウォータークラブストーン  // uo-ta-kurabusuto-n
@1BAD1E 前向きに水属性のこん棒でなぐる  // EN: Strikes forward with a water-element club.
@1BAD7C ウォーターソードストーン  // uo-ta-so-dosuto-n
@1BAD9E 前向きに水属性の剣で斬る  // EN: Slashes forward with a water-element sword.
@1BADFC ウォーターアックスストーン  // uo-ta-akkususuto-n
@1BAE1E 前向きに水属性のオノをふりおろす  // EN: Swings down a water-element axe.
@1BAE7C ウォーターカタナストーン  // uo-ta-katanasuto-n
@1BAE9E 前向きに水属性の日本刀で斬る  // EN: Slashes forward with a water-element katana.
@1BAEFC ファイアナイフストーン  // fuaianaifusuto-n
@1BAF1E 前向きに火属性のナイフで刺す  // EN: Stabs forward with a fire-element knife.
@1BAF7C ファイアクラブストーン  // fuaiakurabusuto-n
@1BAF9E 前向きに火属性のこん棒でなぐる  // EN: Strikes forward with a fire-element club.
@1BAFFC ファイアソードストーン  // fuaiaso-dosuto-n
@1BB01E 前向きに火属性の剣で斬る  // EN: Slashes forward with a fire-element sword.
@1BB07C ファイアアックスストーン  // fuaiaakkususuto-n
@1BB09E 前向きに火属性のオノをふりおろす  // EN: Swings down a fire-element axe.
@1BB0FC ファイアカタナストーン  // fuaiakatanasuto-n
@1BB11E 前向きに火属性の日本刀で斬る  // EN: Slashes forward with a fire-element katana.
@1BB17C リーフナイフストーン  // ri-funaifusuto-n
@1BB19E 前向きに木属性のナイフで刺す  // EN: Stabs forward with a wood-element knife.
@1BB1FC リーフクラブストーン  // ri-fukurabusuto-n
@1BB21E 前向きに木属性のこん棒でなぐる  // EN: Strikes forward with a wood-element club.
@1BB27C リーフソードストーン  // ri-fuso-dosuto-n
@1BB29E 前向きに木属性の剣で斬る  // EN: Slashes forward with a wood-element sword.
@1BB2FC リーフアックスストーン  // ri-fuakkususuto-n
@1BB31E 前向きに木属性のオノをふりおろす  // EN: Swings down a wood-element axe.
@1BB37C リーフカタナストーン  // ri-fukatanasuto-n
@1BB39E 前向きに木属性の日本刀で斬る  // EN: Slashes forward with a wood-element katana.
@1BB3FC ウィンドナイフストーン  // uindonaifusuto-n
@1BB41E 前向きに風属性のナイフで刺す  // EN: Stabs forward with a wind-element knife.
@1BB47C ウィンドクラブストーン  // uindokurabusuto-n
@1BB49E 前向きに風属性のこん棒でなぐる  // EN: Strikes forward with a wind-element club.
@1BB4FC ウィンドソードストーン  // uindoso-dosuto-n
@1BB51E 前向きに風属性の剣で斬る  // EN: Slashes forward with a wind-element sword.
@1BB57C ウィンドアックスストーン  // uindoakkususuto-n
@1BB59E 前向きに風属性のオノをふりおろす  // EN: Swings down a wind-element axe.
@1BB5FC ウィンドカタナストーン  // uindokatanasuto-n
@1BB61E 前向きに風属性の日本刀で斬る  // EN: Slashes forward with a wind-element katana.
@1BB67C アースナイフストーン  // a-sunaifusuto-n
@1BB69E 前向きに地属性のナイフで刺す  // EN: Stabs forward with a earth-element knife.
@1BB6FC アースクラブストーン  // a-sukurabusuto-n
@1BB71E 前向きに地属性のこん棒でなぐる  // EN: Strikes forward with a earth-element club.
@1BB77C アースソードストーン  // a-suso-dosuto-n
@1BB79E 前向きに地属性の剣で斬る  // EN: Slashes forward with a earth-element sword.
@1BB7FC アースアックスストーン  // a-suakkususuto-n
@1BB81E 前向きに地属性のオノをふりおろす  // EN: Swings down a earth-element axe.
@1BB87C アースカタナストーン  // a-sukatanasuto-n
@1BB89E 前向きに地属性の日本刀で斬る  // EN: Slashes forward with a earth-element katana.
@1BB8FC サンダーナイフストーン  // sanda-naifusuto-n
@1BB91E 前向きに雷属性のナイフで刺す  // EN: Stabs forward with a lightning-element knife.
@1BB97C サンダークラブストーン  // sanda-kurabusuto-n
@1BB99E 前向きに雷属性のこん棒でなぐる  // EN: Strikes forward with a lightning-element club.
@1BB9FC サンダーソードストーン  // sanda-so-dosuto-n
@1BBA1E 前向きに雷属性の剣で斬る  // EN: Slashes forward with a lightning-element sword.
@1BBA7C サンダーアックスストーン  // sanda-akkususuto-n
@1BBA9E 前向きに雷属性のオノをふりおろす  // EN: Swings down a lightning-element axe.
@1BBAFC サンダーカタナストーン  // sanda-katanasuto-n
@1BBB1E 前向きに雷属性の日本刀で斬る  // EN: Slashes forward with a lightning-element katana.
@1BBB7C ウォーターパワーストーン　ＣＬ１  // uo-ta-pawa-suto-n ???
@1BBB9E 攻撃力を増やして水属性にチェンジ  // EN: Increases attack and changes to the water element.
@1BBBFC ウォーターパワーストーン　ＣＬ２  // uo-ta-pawa-suto-n ???
@1BBC1E 攻撃力を増やして水属性にチェンジ  // EN: Increases attack and changes to the water element.
@1BBC7C ウォーターパワーストーン　ＣＬ３  // uo-ta-pawa-suto-n ???
@1BBC9E 攻撃力を増やして水属性にチェンジ  // EN: Increases attack and changes to the water element.
@1BBCFC ウォーターパワーストーン　ＣＬ４  // uo-ta-pawa-suto-n ???
@1BBD1E 攻撃力を増やして水属性にチェンジ  // EN: Increases attack and changes to the water element.
@1BBD7C ファイアパワーストーン　ＣＬ１  // fuaiapawa-suto-n ???
@1BBD9E 攻撃力を増やして火属性にチェンジ  // EN: Increases attack and changes to the fire element.
@1BBDFC ファイアパワーストーン　ＣＬ２  // fuaiapawa-suto-n ???
@1BBE1E 攻撃力を増やして火属性にチェンジ  // EN: Increases attack and changes to the fire element.
@1BBE7C ファイアパワーストーン　ＣＬ３  // fuaiapawa-suto-n ???
@1BBE9E 攻撃力を増やして火属性にチェンジ  // EN: Increases attack and changes to the fire element.
@1BBEFC ファイアパワーストーン　ＣＬ４  // fuaiapawa-suto-n ???
@1BBF1E 攻撃力を増やして火属性にチェンジ  // EN: Increases attack and changes to the fire element.
@1BBF7C リーフパワーストーン　ＣＬ１  // ri-fupawa-suto-n ???
@1BBF9E 攻撃力を増やして木属性にチェンジ  // EN: Increases attack and changes to the wood element.
@1BBFFC リーフパワーストーン　ＣＬ２  // ri-fupawa-suto-n ???
@1BC01E 攻撃力を増やして木属性にチェンジ  // EN: Increases attack and changes to the wood element.
@1BC07C リーフパワーストーン　ＣＬ３  // ri-fupawa-suto-n ???
@1BC09E 攻撃力を増やして木属性にチェンジ  // EN: Increases attack and changes to the wood element.
@1BC0FC リーフパワーストーン　ＣＬ４  // ri-fupawa-suto-n ???
@1BC11E 攻撃力を増やして木属性にチェンジ  // EN: Increases attack and changes to the wood element.
@1BC17C ウィンドパワーストーン　ＣＬ１  // uindopawa-suto-n ???
@1BC19E 攻撃力を増やして風属性にチェンジ  // EN: Increases attack and changes to the wind element.
@1BC1FC ウィンドパワーストーン　ＣＬ２  // uindopawa-suto-n ???
@1BC21E 攻撃力を増やして風属性にチェンジ  // EN: Increases attack and changes to the wind element.
@1BC27C ウィンドパワーストーン　ＣＬ３  // uindopawa-suto-n ???
@1BC29E 攻撃力を増やして風属性にチェンジ  // EN: Increases attack and changes to the wind element.
@1BC2FC ウィンドパワーストーン　ＣＬ４  // uindopawa-suto-n ???
@1BC31E 攻撃力を増やして風属性にチェンジ  // EN: Increases attack and changes to the wind element.
@1BC37C アースパワーストーン　ＣＬ１  // a-supawa-suto-n ???
@1BC39E 攻撃力を増やして地属性にチェンジ  // EN: Increases attack and changes to the earth element.
@1BC3FC アースパワーストーン　ＣＬ２  // a-supawa-suto-n ???
@1BC41E 攻撃力を増やして地属性にチェンジ  // EN: Increases attack and changes to the earth element.
@1BC47C アースパワーストーン　ＣＬ３  // a-supawa-suto-n ???
@1BC49E 攻撃力を増やして地属性にチェンジ  // EN: Increases attack and changes to the earth element.
@1BC4FC アースパワーストーン　ＣＬ４  // a-supawa-suto-n ???
@1BC51E 攻撃力を増やして地属性にチェンジ  // EN: Increases attack and changes to the earth element.
@1BC57C サンダーパワーストーン　ＣＬ１  // sanda-pawa-suto-n ???
@1BC59E 攻撃力を増やして雷属性にチェンジ  // EN: Increases attack and changes to the lightning element.
@1BC5FC サンダーパワーストーン　ＣＬ２  // sanda-pawa-suto-n ???
@1BC61E 攻撃力を増やして雷属性にチェンジ  // EN: Increases attack and changes to the lightning element.
@1BC67C サンダーパワーストーン　ＣＬ３  // sanda-pawa-suto-n ???
@1BC69E 攻撃力を増やして雷属性にチェンジ  // EN: Increases attack and changes to the lightning element.
@1BC6FC サンダーパワーストーン　ＣＬ４  // sanda-pawa-suto-n ???
@1BC71E 攻撃力を増やして雷属性にチェンジ  // EN: Increases attack and changes to the lightning element.
@1BC77C ウォーターコートストーン　ＣＬ１  // uo-ta-ko-tosuto-n ???
@1BC79E 防御力を高めて水属性にチェンジ  // EN: Increases defense and changes to the water element.
@1BC7FC ウォーターコートストーン　ＣＬ２  // uo-ta-ko-tosuto-n ???
@1BC81E 防御力を高めて水属性にチェンジ  // EN: Increases defense and changes to the water element.
@1BC87C ウォーターコートストーン　ＣＬ３  // uo-ta-ko-tosuto-n ???
@1BC89E 防御力を高めて水属性にチェンジ  // EN: Increases defense and changes to the water element.
@1BC8FC ウォーターコートストーン　ＣＬ４  // uo-ta-ko-tosuto-n ???
@1BC91E 防御力を高めて水属性にチェンジ  // EN: Increases defense and changes to the water element.
@1BC97C ファイアコートストーン　ＣＬ１  // fuaiako-tosuto-n ???
@1BC99E 防御力を高めて火属性にチェンジ  // EN: Increases defense and changes to the fire element.
@1BC9FC ファイアコートストーン　ＣＬ２  // fuaiako-tosuto-n ???
@1BCA1E 防御力を高めて火属性にチェンジ  // EN: Increases defense and changes to the fire element.
@1BCA7C ファイアコートストーン　ＣＬ３  // fuaiako-tosuto-n ???
@1BCA9E 防御力を高めて火属性にチェンジ  // EN: Increases defense and changes to the fire element.
@1BCAFC ファイアコートストーン　ＣＬ４  // fuaiako-tosuto-n ???
@1BCB1E 防御力を高めて火属性にチェンジ  // EN: Increases defense and changes to the fire element.
@1BCB7C リーフコートストーン　ＣＬ１  // ri-fuko-tosuto-n ???
@1BCB9E 防御力を高めて木属性にチェンジ  // EN: Increases defense and changes to the wood element.
@1BCBFC リーフコートストーン　ＣＬ２  // ri-fuko-tosuto-n ???
@1BCC1E 防御力を高めて木属性にチェンジ  // EN: Increases defense and changes to the wood element.
@1BCC7C リーフコートストーン　ＣＬ３  // ri-fuko-tosuto-n ???
@1BCC9E 防御力を高めて木属性にチェンジ  // EN: Increases defense and changes to the wood element.
@1BCCFC リーフコートストーン　ＣＬ４  // ri-fuko-tosuto-n ???
@1BCD1E 防御力を高めて木属性にチェンジ  // EN: Increases defense and changes to the wood element.
@1BCD7C ウィンドコートストーン　ＣＬ１  // uindoko-tosuto-n ???
@1BCD9E 防御力を高めて風属性にチェンジ  // EN: Increases defense and changes to the wind element.
@1BCDFC ウィンドコートストーン　ＣＬ２  // uindoko-tosuto-n ???
@1BCE1E 防御力を高めて風属性にチェンジ  // EN: Increases defense and changes to the wind element.
@1BCE7C ウィンドコートストーン　ＣＬ３  // uindoko-tosuto-n ???
@1BCE9E 防御力を高めて風属性にチェンジ  // EN: Increases defense and changes to the wind element.
@1BCEFC ウィンドコートストーン　ＣＬ４  // uindoko-tosuto-n ???
@1BCF1E 防御力を高めて風属性にチェンジ  // EN: Increases defense and changes to the wind element.
@1BCF7C アースコートストーン　ＣＬ１  // a-suko-tosuto-n ???
@1BCF9E 防御力を高めて地属性にチェンジ  // EN: Increases defense and changes to the earth element.
@1BCFFC アースコートストーン　ＣＬ２  // a-suko-tosuto-n ???
@1BD01E 防御力を高めて地属性にチェンジ  // EN: Increases defense and changes to the earth element.
@1BD07C アースコートストーン　ＣＬ３  // a-suko-tosuto-n ???
@1BD09E 防御力を高めて地属性にチェンジ  // EN: Increases defense and changes to the earth element.
@1BD0FC アースコートストーン　ＣＬ４  // a-suko-tosuto-n ???
@1BD11E 防御力を高めて地属性にチェンジ  // EN: Increases defense and changes to the earth element.
@1BD17C サンダーコートストーン　ＣＬ１  // sanda-ko-tosuto-n ???
@1BD19E 防御力を高めて雷属性にチェンジ  // EN: Increases defense and changes to the lightning element.
@1BD1FC サンダーコートストーン　ＣＬ２  // sanda-ko-tosuto-n ???
@1BD21E 防御力を高めて雷属性にチェンジ  // EN: Increases defense and changes to the lightning element.
@1BD27C サンダーコートストーン　ＣＬ３  // sanda-ko-tosuto-n ???
@1BD29E 防御力を高めて雷属性にチェンジ  // EN: Increases defense and changes to the lightning element.
@1BD2FC サンダーコートストーン　ＣＬ４  // sanda-ko-tosuto-n ???
@1BD31E 防御力を高めて雷属性にチェンジ  // EN: Increases defense and changes to the lightning element.
@1BD37C フリーズストーン　ＣＬ１  // furi-zusuto-n ???
@1BD3FC フリーズストーン　ＣＬ２  // furi-zusuto-n ???
@1BD47C フリーズストーン　ＣＬ３  // furi-zusuto-n ???
@1BD4FC カウントダウンストーン　ＣＬ１  // kauntodaunsuto-n ???
@1BD51E パラメータを減らすカウントダウン  // EN: A countdown that lowers stats.
@1BD57C カウントダウンストーン　ＣＬ２  // kauntodaunsuto-n ???
@1BD59E パラメータを減らすカウントダウン  // EN: A countdown that lowers stats.
@1BD5FC カウントダウンストーン　ＣＬ３  // kauntodaunsuto-n ???
@1BD61E パラメータを減らすカウントダウン  // EN: A countdown that lowers stats.
@1BD67C デッキダウンストーン　ＣＬ２  // dekkidaunsuto-n ???
@1BD6FC デッキダウンストーン　ＣＬ３  // dekkidaunsuto-n ???
@1BD77C ミノタウロストーン　ＣＬ２  // minotaurosuto-n ???
@1BD79E ミノタウロのタックル攻撃  // EN: Minotauro attacks with a tackle.
@1BD7FC ミノタウロストーン　ＣＬ３  // minotaurosuto-n ???
@1BD81E ミノタウロの連続タックル  // EN: Minotauro tackles repeatedly.
@1BD87C サーペントストーン　ＣＬ２  // sa-pentosuto-n ???
@1BD89E サーペントが水属性に変えて防御  // EN: Serpent changes to the water element and defends.
@1BD8FC サーペントストーン　ＣＬ３  // sa-pentosuto-n ???
@1BD91E サーペントが渦巻きを発生させる  // EN: Serpent creates a whirlpool.
@1BD97C サラマンダーストーン　ＣＬ２  // saramanda-suto-n ???
@1BD99E サラマンダーが火属性に変えて防御  // EN: Salamander changes to the fire element and defends.
@1BD9FC サラマンダーストーン　ＣＬ３  // saramanda-suto-n ???
@1BDA1E サラマンダーが敵にアタック  // EN: Salamander attacks the enemy.
@1BDA7C トレントストーン　ＣＬ２  // torentosuto-n ???
@1BDA9E トレントが木属性に変えて防御  // EN: Treant changes to the wood element and defends.
@1BDAFC トレントストーン　ＣＬ３  // torentosuto-n ???
@1BDB1E トレントの葉攻撃＆体力回復  // EN: Treant attacks with leaves and restores HP.
@1BDB7C ジンストーン　ＣＬ２  // jinsuto-n ???
@1BDB9E ジンが風属性に変えて防御  // EN: Djinn changes to the wind element and defends.
@1BDBFC ジンストーン　ＣＬ３  // jinsuto-n ???
@1BDC1E ジンの体当たり攻撃  // EN: Djinn attacks with a body slam.
@1BDC7C クエイクストーン　ＣＬ２  // kueikusuto-n ???
@1BDC9E クエイクが地属性に変え防御と回復  // EN: Quake changes to the earth element, defends and heals.
@1BDCFC クエイクストーン　ＣＬ３  // kueikusuto-n ???
@1BDD1E クエイクの大地の攻撃＆体力回復  // EN: Quake attacks with earth and restores HP.
@1BDD7C インドラストーン　ＣＬ２  // indorasuto-n ???
@1BDD9E インドラが雷属性に変えて防御  // EN: Indra changes to the lightning element and defends.
@1BDDFC インドラストーン　ＣＬ３  // indorasuto-n ???
@1BDE1E インドラの電撃で１体が動作不能  // EN: Indra's electric shock immobilizes one target.
@1BDE7C アイスストーン　ＣＬ１  // aisusuto-n ???
@1BDE9E 水のかたまりを前方向に投げる  // EN: Throws a mass of water forward.
@1BDEFC アイスストーン　ＣＬ２  // aisusuto-n ???
@1BDF1E 氷のかたまりを前方向に投げる  // EN: Throws a chunk of ice forward.
@1BDF7C アイスストーン　ＣＬ３  // aisusuto-n ???
@1BDF9E 多くの氷を前方向にばらまく  // EN: Scatters a shower of ice forward.
@1BDFFC ファイアストーン　ＣＬ１  // fuaiasuto-n ???
@1BE01E 小さな火の玉を飛ばす  // EN: Launches a small fireball.
@1BE07C ファイアストーン　ＣＬ２  // fuaiasuto-n ???
@1BE09E 大きな火の玉を飛ばす  // EN: Launches a large fireball.
@1BE0FC ファイアストーン　ＣＬ３  // fuaiasuto-n ???
@1BE11E 火の玉を渦巻きのように飛ばす  // EN: Launches fireballs in a spiral.
@1BE17C プランツストーン　ＣＬ１  // purantsusuto-n ???
@1BE19E 体を葉で包み、動きを遅くする  // EN: Wraps the body in leaves, slowing movement.
@1BE1FC プランツストーン　ＣＬ２  // purantsusuto-n ???
@1BE21E ツタを足に絡ませて動きを止める  // EN: Entangles the feet in vines, stopping movement.
@1BE27C プランツストーン　ＣＬ３  // purantsusuto-n ???
@1BE29E ツタを体に絡ませて動きを止める  // EN: Entangles the body in vines, stopping movement.
@1BE2FC ストームストーン　ＣＬ１  // suto-musuto-n ???
@1BE31E 悪臭のつまった風船を飛ばす  // EN: Launches a balloon filled with a foul smell.
@1BE37C ストームストーン　ＣＬ２  // suto-musuto-n ???
@1BE39E たくさんの悪臭風船を飛ばす  // EN: Launches many foul-smelling balloons.
@1BE3FC ストームストーン　ＣＬ３  // suto-musuto-n ???
@1BE41E 大量の悪臭風船を飛ばす  // EN: Launches a huge barrage of foul-smelling balloons.
@1BE47C アースストーン　ＣＬ１  // a-susuto-n ???
@1BE49E 足元をドロにして移動できなくする  // EN: Turns the ground underfoot to mud, preventing movement.
@1BE4FC アースストーン　ＣＬ２  // a-susuto-n ???
@1BE51E 水晶がガードする  // EN: A crystal guards the user.
@1BE57C アースストーン　ＣＬ３  // a-susuto-n ???
@1BE59E 宝石がガードする  // EN: A gemstone guards the user.
@1BE5FC ライトニングストーン　ＣＬ１  // raitoningusuto-n ???
@1BE61E プラズマ電気をぶつける  // EN: Hits the target with electrical plasma.
@1BE67C ライトニングストーン　ＣＬ２  // raitoningusuto-n ???
@1BE69E 雷をおとす  // EN: Calls down lightning.
@1BE6FC ライトニングストーン　ＣＬ３  // raitoningusuto-n ???
@1BE71E 大きな雷をおとす  // EN: Calls down a massive lightning strike.
@1BE83C サックリの実  // EN: Crisp Fruit
@1BE85E 体力を５０回復する  // EN: Restores 50 HP.
@1BE88C ジュクした実  // EN: Ripe Fruit
@1BE8AE 体力を１５０回復する  // EN: Restores 150 HP.
@1BE8DC ニガい実  // EN: Bitter Fruit
@1BE8FE 体力を４５０回復する  // EN: Restores 450 HP.
@1BE92C ヘブンズリーフ  // hebunzuri-fu
@1BE94E 体力を全回復する  // EN: Fully restores HP.
@1BE97C 大きなヘブンズリーフ  // EN: Large Heaven's Leaf
@1BE99E パーティーの体力を全回復する  // EN: Fully restores the party's HP.
@1BE9CC ライフシード  // raifushi-do
@1BE9EE 体力の最大値をふやす  // EN: Raises maximum HP.
@1BEA1C マジックシード  // majikkushi-do
@1BEA3E 魔力の最大値をふやす  // EN: Raises maximum magic power.
@1BEA6C パワーシード  // pawa-shi-do
@1BEA8E 攻撃力の最大値をふやす  // EN: Raises maximum attack.
@1BEABC ガードシード  // ga-doshi-do
@1BEADE 防御力の最大値をふやす  // EN: Raises maximum defense.
@1BEB0C アームシルバー  // a-mushiruba-
@1BEB2E 彫金の材料になる  // EN: Used as an engraving material.
@1BEB5C アームゴールド  // a-mugo-rudo
@1BEB7E 彫金の材料になる  // EN: Used as an engraving material.
@1BEBAC アームプラチナ  // a-mupurachina
@1BEBCE 彫金の材料になる  // EN: Used as an engraving material.
@1BEBFC アームジュエル  // a-mujueru
@1BEC1E 彫金の材料になる  // EN: Used as an engraving material.
