// MAR ÄRM definition names and descriptions (445 records, 128 bytes each)
// One record per line: @<rom offset> <text>
// Text is re-encoded to Shift-JIS at build time; a line may not grow
// past its fixed source field. Anything after // is a source comment.

@1B097C ＥＭＰＴＹ  // EN: Empty
@1B691E ＣＬ１の<F0><56>ＲＭを使えなくする  // EN: Prevents use of CL1 ÄRM.
@1B697C アームフリーズ　ＣＬ２  // EN: ÄRM Freeze CL2
@1B699E ＣＬ２以下の<F0><56>ＲＭを使えなくする  // EN: Prevents use of CL2 or lower ÄRM.
@1B69FC アームフリーズ　ＣＬ３  // EN: ÄRM Freeze CL3
@1B6A1E ＣＬ３以下の<F0><56>ＲＭを使えなくする  // EN: Prevents use of CL3 or lower ÄRM.
@1B6A7C アームフリーズ　ＣＬ４  // EN: ÄRM Freeze CL4
@1B6A9E ＣＬ４以下の<F0><56>ＲＭを使えなくする  // EN: Prevents use of CL4 or lower ÄRM.
@1B6AFC カウントダウン　ＣＬ１  // EN: Countdown CL1
@1B6B1E パラメータを減らすカウントダウン  // EN: A countdown that lowers stats.
@1B6B7C カウントダウン　ＣＬ２  // EN: Countdown CL2
@1B6B9E パラメータを減らすカウントダウン  // EN: A countdown that lowers stats.
@1B6BFC カウントダウン　ＣＬ３  // EN: Countdown CL3
@1B6C1E パラメータを減らすカウントダウン  // EN: A countdown that lowers stats.
@1B6C7C カウントダウン　ＣＬ４  // EN: Countdown CL4
@1B6C9E パラメータを減らすカウントダウン  // EN: A countdown that lowers stats.
@1B6CFC カウントダウン　ＣＬ５  // EN: Countdown CL5
@1B6D1E パラメータを減らすカウントダウン  // EN: A countdown that lowers stats.
@1B6D7C デッキダウン　ＣＬ２  // EN: Deck Down CL2
@1B6D9E 敵の<F0><56>ＲＭセレクトを４つにする  // EN: Limits the enemy's ÄRM Select to four.
@1B6DFC デッキダウン　ＣＬ３  // EN: Deck Down CL3
@1B6E1E 敵の<F0><56>ＲＭセレクトを３つにする  // EN: Limits the enemy's ÄRM Select to three.
@1B6E7C デッキダウン　ＣＬ４  // EN: Deck Down CL4
@1B6E9E 敵の<F0><56>ＲＭセレクトを２つにする  // EN: Limits the enemy's ÄRM Select to two.
@1B6EFC デッキダウン　ＣＬ５  // EN: Deck Down CL5
@1B6F1E 敵の<F0><56>ＲＭセレクトを１つにする  // EN: Limits the enemy's ÄRM Select to one.
@1B6F7C ミノタウロ　ＣＬ２  // EN: Minotaur CL2
@1B6F9E ミノタウロのタックル攻撃  // EN: Minotauro attacks with a tackle.
@1B6FFC ミノタウロ　ＣＬ３  // EN: Minotaur CL3
@1B701E ミノタウロの連続タックル  // EN: Minotauro tackles repeatedly.
@1B707C ミノタウロ　ＣＬ４  // EN: Minotaur CL4
@1B709E ミノタウロの連続パンチ  // EN: Minotauro punches repeatedly.
@1B70FC ミノタウロ　ＣＬ５  // EN: Minotaur CL5
@1B711E ミノタウロの必殺コンボ  // EN: Minotauro unleashes a finishing combo.
@1B717C サーペント　ＣＬ２  // EN: Serpent CL2
@1B719E サーペントが水属性に変えて防御  // EN: Serpent changes to the water element and defends.
@1B71FC サーペント　ＣＬ３  // EN: Serpent CL3
@1B721E サーペントがうず巻きを発生させる  // EN: Serpent creates a whirlpool.
@1B727C サーペント　ＣＬ４  // EN: Serpent CL4
@1B729E サーペントが津波をおこす  // EN: Serpent creates a tidal wave.
@1B72FC サーペント　ＣＬ５  // EN: Serpent CL5
@1B731E サーペントが津波をおこし凍らせる  // EN: Serpent creates a tidal wave and freezes the enemy.
@1B737C サラマンダー　ＣＬ２  // EN: Salamander CL2
@1B739E サラマンダーが火属性に変えて防御  // EN: Salamander changes to the fire element and defends.
@1B73FC サラマンダー　ＣＬ３  // EN: Salamander CL3
@1B741E サラマンダーが敵にアタック  // EN: Salamander attacks the enemy.
@1B747C サラマンダー　ＣＬ４  // EN: Salamander CL4
@1B749E サラマンダーから炎が飛び出す  // EN: Flames shoot out of Salamander.
@1B74FC サラマンダー　ＣＬ５  // EN: Salamander CL5
@1B751E 巨大サラマンダーが炎をはく  // EN: A giant Salamander breathes fire.
@1B757C トレント　ＣＬ２  // EN: Treant CL2
@1B759E トレントが木属性に変えて防御  // EN: Treant changes to the wood element and defends.
@1B75FC トレント　ＣＬ３  // EN: Treant CL3
@1B761E トレントの葉攻撃＆体力回復  // EN: Treant attacks with leaves and restores HP.
@1B767C トレント　ＣＬ４  // EN: Treant CL4
@1B769E トレントの倒木攻撃＆体力回復  // EN: Treant attacks with a falling tree and restores HP.
@1B76FC トレント　ＣＬ５  // EN: Treant CL5
@1B771E トレントの殴り攻撃＆体力回復  // EN: Treant strikes the enemy and restores HP.
@1B777C ジン　ＣＬ２  // EN: Djinn CL2
@1B779E ジンが風属性に変えて防御  // EN: Djinn changes to the wind element and defends.
@1B77FC ジン　ＣＬ３  // EN: Djinn CL3
@1B781E ジンの体当たり攻撃  // EN: Djinn attacks with a body slam.
@1B787C ジン　ＣＬ４  // EN: Djinn CL4
@1B789E ジンの分裂体当たり攻撃  // EN: Djinn splits into copies that attack with body slams.
@1B78FC ジン　ＣＬ５  // EN: Djinn CL5
@1B791E ジンの大分裂＆超アタック  // EN: Djinn splits into many copies and unleashes a powerful attack.
@1B797C クエイク　ＣＬ２  // EN: Quake CL2
@1B799E クエイクが地属性に変え防御と回復  // EN: Quake changes to the earth element, defends and heals.
@1B79FC クエイク　ＣＬ３  // EN: Quake CL3
@1B7A1E クエイクの大地の攻撃＆体力回復  // EN: Quake attacks with earth and restores HP.
@1B7A7C クエイク　ＣＬ４  // EN: Quake CL4
@1B7A9E クエイクの大地連続攻撃＆体力回復  // EN: Quake attacks repeatedly with earth and restores HP.
@1B7AFC クエイク　ＣＬ５  // EN: Quake CL5
@1B7B1E クエイクの大噴火攻撃＆体力回復  // EN: Quake attacks with a massive eruption and restores HP.
@1B7B7C インドラ　ＣＬ２  // EN: Indra CL2
@1B7B9E インドラが雷属性に変えて防御  // EN: Indra changes to the lightning element and defends.
@1B7BFC インドラ　ＣＬ３  // EN: Indra CL3
@1B7C1E インドラの電撃で１体が動作不能  // EN: Indra's electric shock immobilizes one target.
@1B7C7C インドラ　ＣＬ４  // EN: Indra CL4
@1B7C9E インドラの大電撃で１体が動作不能  // EN: Indra's powerful electric shock immobilizes one target.
@1B7CFC インドラ　ＣＬ５  // EN: Indra CL5
@1B7D1E インドラの超電撃で１体が動作不能  // EN: Indra's supercharged electric shock immobilizes one target.
@1B7D7C アイス＆ウォーター　ＣＬ１  // EN: Ice & Water CL1
@1B7D9E 水のかたまりを前方向に投げる  // EN: Throws a mass of water forward.
@1B7DFC アイス＆ウォーター　ＣＬ２  // EN: Ice & Water CL2
@1B7E1E 氷のかたまりを前方向に投げる  // EN: Throws a chunk of ice forward.
@1B7E7C アイス＆ウォーター　ＣＬ３  // EN: Ice & Water CL3
@1B7E9E 多くの氷を前方向にばらまく  // EN: Scatters a shower of ice forward.
@1B7EFC アイス＆ウォーター　ＣＬ４  // EN: Ice & Water CL4
@1B7F1E 大量の氷を前にばらまく  // EN: Scatters a huge shower of ice forward.
@1B7F7C アイス＆ウォーター　ＣＬ５  // EN: Ice & Water CL5
@1B7F9E 氷河が敵を飲みこむ  // EN: A glacier engulfs the enemy.
@1B7FFC ファイアバーニング　ＣＬ１  // EN: Fire Burning CL1
@1B801E 小さな火の玉を飛ばす  // EN: Launches a small fireball.
@1B807C ファイアバーニング　ＣＬ２  // EN: Fire Burning CL2
@1B809E 大きな火の玉を飛ばす  // EN: Launches a large fireball.
@1B80FC ファイアバーニング　ＣＬ３  // EN: Fire Burning CL3
@1B811E 火の玉を渦巻きのように飛ばす  // EN: Launches fireballs in a spiral.
@1B817C ファイアバーニング　ＣＬ４  // EN: Fire Burning CL4
@1B819E 上下から炎攻撃  // EN: Attacks with flames from above and below.
@1B81FC ファイアバーニング　ＣＬ５  // EN: Fire Burning CL5
@1B821E 小さな超新星爆発をおこす  // EN: Creates a small supernova explosion.
@1B827C プランツアタック　ＣＬ１  // EN: Plant Attack CL1
@1B829E 体を葉で包み、動きを遅くする  // EN: Wraps the body in leaves, slowing movement.
@1B82FC プランツアタック　ＣＬ２  // EN: Plant Attack CL2
@1B831E ツタを足に絡ませて動きを止める  // EN: Entangles the feet in vines, stopping movement.
@1B837C プランツアタック　ＣＬ３  // EN: Plant Attack CL3
@1B839E ツタを体に絡ませて動きを止める  // EN: Entangles the body in vines, stopping movement.
@1B83FC プランツアタック　ＣＬ４  // EN: Plant Attack CL4
@1B841E 木から大量の虫を飛ばす  // EN: Sends a swarm of insects flying out of a tree.
@1B847C プランツアタック　ＣＬ５  // EN: Plant Attack CL5
@1B849E 大木がすべてにダメージを与える  // EN: A huge tree damages everything.
@1B84FC デンジャラスストーム　ＣＬ１  // EN: Dangerous Storm CL1
@1B851E 悪臭のつまった風船を飛ばす  // EN: Launches a balloon filled with a foul smell.
@1B857C デンジャラスストーム　ＣＬ２  // EN: Dangerous Storm CL2
@1B859E たくさんの悪臭風船を飛ばす  // EN: Launches many foul-smelling balloons.
@1B85FC デンジャラスストーム　ＣＬ３  // EN: Dangerous Storm CL3
@1B861E 大量の悪臭風船を飛ばす  // EN: Launches a huge barrage of foul-smelling balloons.
@1B867C デンジャラスストーム　ＣＬ４  // EN: Dangerous Storm CL4
@1B869E 砂嵐で攻撃し、目に砂を入れる  // EN: Attacks with a sandstorm, getting sand in the enemy's eyes.
@1B86FC デンジャラスストーム　ＣＬ５  // EN: Dangerous Storm CL5
@1B871E ハリケーンからいろいろ飛び出す  // EN: Various objects fly out of a hurricane.
@1B877C アースフォース　ＣＬ１  // EN: Earth Force CL1
@1B879E 足元をドロにして移動できなくする  // EN: Turns the ground underfoot to mud, preventing movement.
@1B87FC アースフォース　ＣＬ２  // EN: Earth Force CL2
@1B881E 水晶がガードする  // EN: A crystal guards the user.
@1B887C アースフォース　ＣＬ３  // EN: Earth Force CL3
@1B889E 宝石がガードする  // EN: A gemstone guards the user.
@1B88FC アースフォース　ＣＬ４  // EN: Earth Force CL4
@1B891E 地震をおこし岩を落とす  // EN: Causes an earthquake and falling rocks.
@1B897C アースフォース　ＣＬ５  // EN: Earth Force CL5
@1B899E 地割れをおこしマグマが噴き出す  // EN: Splits the ground, sending magma gushing out.
@1B89FC ライトニングボルト　ＣＬ１  // EN: Lightning Bolt CL1
@1B8A1E プラズマ電気をぶつける  // EN: Hits the target with electrical plasma.
@1B8A7C ライトニングボルト　ＣＬ２  // EN: Lightning Bolt CL2
@1B8A9E 雷をおとす  // EN: Calls down lightning.
@1B8AFC ライトニングボルト　ＣＬ３  // EN: Lightning Bolt CL3
@1B8B1E 大きな雷をおとす  // EN: Calls down a massive lightning strike.
@1B8B7C ライトニングボルト　ＣＬ４  // EN: Lightning Bolt CL4
@1B8B9E たくさんの雷をおとす  // EN: Calls down many lightning strikes.
@1B8BFC ライトニングボルト　ＣＬ５  // EN: Lightning Bolt CL5
@1B8C1E 巨大雷をおとしまわりに放電させる  // EN: Calls down a massive lightning strike that discharges electricity around it.
@1B8C7C スキャンリング  // EN: Scan Ring
@1B8C9E 使用可能な敵のセット<F0><56>ＲＭを使う  // EN: Uses an available enemy Set ÄRM.
@1B8CFC ストックリング  // EN: Stock Ring
@1B8D1E 次に使う<F0><56>ＲＭをセレクトに残せる  // EN: Keeps the next ÄRM in the Select list.
@1B8D7C シャッフルリング  // EN: Shuffle Ring
@1B8D9E デッキの<F0><56>ＲＭをシャッフルできる  // EN: Shuffles the ÄRM in the deck.
@1B8DFC ダミー  // EN: Unused
@1B8E1E ダミー  // EN: Unused
@1B8E7C ダミー  // EN: Unused
@1B8E9E ダミー  // EN: Unused
@1B8EFC ダミー  // EN: Unused
@1B8F1E ダミー  // EN: Unused
@1B8F7C ダミー  // EN: Unused
@1B8F9E ダミー  // EN: Unused
@1B8FFC ダミー  // EN: Unused
@1B901E ダミー  // EN: Unused
@1B907C ダミー  // EN: Unused
@1B909E ダミー  // EN: Unused
@1B90FC ダミー  // EN: Unused
@1B911E ダミー  // EN: Unused
@1B917C ダミー  // EN: Unused
@1B919E ダミー  // EN: Unused
@1B91FC ダミー  // EN: Unused
@1B921E ダミー  // EN: Unused
@1B927C ダミー  // EN: Unused
@1B929E ダミー  // EN: Unused
@1B92FC ダミー  // EN: Unused
@1B931E ダミー  // EN: Unused
@1B937C ダミー  // EN: Unused
@1B939E ダミー  // EN: Unused
@1B93FC ダミー  // EN: Unused
@1B941E ダミー  // EN: Unused
@1B947C ダミー  // EN: Unused
@1B949E ダミー  // EN: Unused
@1B94FC ダミー  // EN: Unused
@1B951E ダミー  // EN: Unused
@1B957C ダミー  // EN: Unused
@1B959E ダミー  // EN: Unused
@1B95FC ダミー  // EN: Unused
@1B961E ダミー  // EN: Unused
@1B967C ダミー  // EN: Unused
@1B969E ダミー  // EN: Unused
@1B96FC ダミー  // EN: Unused
@1B971E ダミー  // EN: Unused
@1B977C ダミー  // EN: Unused
@1B979E ダミー  // EN: Unused
@1B97FC ダミー  // EN: Unused
@1B981E ダミー  // EN: Unused
@1B987C ダミー  // EN: Unused
@1B989E ダミー  // EN: Unused
@1B98FC ダミー  // EN: Unused
@1B991E ダミー  // EN: Unused
@1B997C ダミー  // EN: Unused
@1B999E ダミー  // EN: Unused
@1B99FC ダミー  // EN: Unused
@1B9A1E ダミー  // EN: Unused
@1B9A7C ダミー  // EN: Unused
@1B9A9E ダミー  // EN: Unused
@1B9AFC ダミー  // EN: Unused
@1B9B1E ダミー  // EN: Unused
@1B9B7C ダミー  // EN: Unused
@1B9B9E ダミー  // EN: Unused
@1B9BFC ダミー  // EN: Unused
@1B9C1E ダミー  // EN: Unused
@1B9C7C ダミー  // EN: Unused
@1B9C9E ダミー  // EN: Unused
@1B9CFC ダミー  // EN: Unused
@1B9D1E ダミー  // EN: Unused
@1B9D7C ダミー  // EN: Unused
@1B9D9E ダミー  // EN: Unused
@1B9DFC ダミー  // EN: Unused
@1B9E1E ダミー  // EN: Unused
@1B9E7C ダミー  // EN: Unused
@1B9E9E ダミー  // EN: Unused
@1B9EFC ダミー  // EN: Unused
@1B9F1E ダミー  // EN: Unused
@1B9F7C ビッグバッボ  // EN: Big Babbo
@1B9F9E 巨大化したバッボを前にふりおろす  // EN: Swings an enlarged Babbo down in front.
@1B9FFC ハンマーアーム  // EN: Hammer ÄRM
@1BA01E 腕を鉄球にしてアタック  // EN: Turns the arm into an iron ball and attacks.
@1BA07C ダガーアーム  // EN: Dagger ÄRM
@1BA09E 腕を剣にして斬る  // EN: Turns the arm into a sword and slashes.
@1BA0FC バブルランチャー  // EN: Bubble Launcher
@1BA11E シャボン玉ばくだんを発射する  // EN: Fires bubble bombs.
@1BA17C ガーゴイル　ＣＬ４  // EN: Gargoyle CL4
@1BA19E ガーゴイルのパンチがさくれつ  // EN: Gargoyle's punch explodes.
@1BA1FC ガーゴイル　ＣＬ５  // EN: Gargoyle CL5
@1BA21E ガーゴイルがビームをはなつ  // EN: Gargoyle fires a beam.
@1BA27C ガーゴイル　ＳＰ  // EN: Gargoyle SP
@1BA29E すごいガーゴイル！  // EN: An amazing Gargoyle!
@1BA2FC アリス  // EN: Alice
@1BA31E ダークネス効果を消して体力回復  // EN: Removes Darkness effects and restores HP.
@1BA37C ガトリングバッボ  // EN: Gatling Babbo
@1BA39E 小さなバッボを連射する  // EN: Rapidly fires small Babbos.
@1BA3FC アーマーストーン　ＣＬ１  // EN: Armor Stone CL1
@1BA41E リングアーマーの一撃  // EN: Ring Armor delivers a strike.
@1BA47C アーマーストーン　ＣＬ２  // EN: Armor Stone CL2
@1BA49E リングアーマーの連続攻撃  // EN: Ring Armor attacks repeatedly.
@1BA4FC ５ダガーストーン  // EN: 5-Dagger Stone
@1BA51E ５本のダガーを前に飛ばす  // EN: Launches five daggers forward.
@1BA57C １０ダガーストーン  // EN: 10-Dagger Stone
@1BA59E １０本のダガーを前に飛ばす  // EN: Launches ten daggers forward.
@1BA5FC ２０ダガーストーン  // EN: 20-Dagger Stone
@1BA61E ２０本のダガーを前後に飛ばす  // EN: Launches twenty daggers forward and backward.
@1BA67C ブレードストーン  // EN: Blade Stone
@1BA69E 大きな剣が敵を斬る  // EN: A large sword slashes the enemy.
@1BA6FC メルトアイスストーン  // EN: Melt Ice Stone
@1BA71E 熱い空気を広げる  // EN: Spreads hot air.
@1BA77C 癒しの天使石　ＣＬ１  // EN: Healing Angel Stone CL1
@1BA79E 使用者の体力を少し回復する  // EN: Restores a little of the user's HP.
@1BA7FC 癒しの天使石　ＣＬ２  // EN: Healing Angel Stone CL2
@1BA81E 使用者の体力をかなり回復する  // EN: Restores a large amount of the user's HP.
@1BA87C パワーストーン　ＣＬ１  // EN: Power Stone CL1
@1BA89E 腕力がすこし強くなる  // EN: Slightly increases physical strength.
@1BA8FC パワーストーン　ＣＬ２  // EN: Power Stone CL2
@1BA91E 腕力がかなり強くなる  // EN: Greatly increases physical strength.
@1BA97C パワーストーン　ＣＬ３  // EN: Power Stone CL3
@1BA99E 腕力がすごく強くなる  // EN: Dramatically increases physical strength.
@1BA9FC ナイフストーン  // EN: Knife Stone
@1BAA1E 前向きにナイフで刺す  // EN: Stabs forward with a knife.
@1BAA7C クラブストーン  // EN: Club Stone
@1BAA9E 前向きにこん棒でなぐる  // EN: Strikes forward with a club.
@1BAAFC ソードストーン  // EN: Sword Stone
@1BAB1E 前向きに剣で斬る  // EN: Slashes forward with a sword.
@1BAB7C アックスストーン  // EN: Axe Stone
@1BAB9E 前向きにオノをふりおろす  // EN: Swings an axe down in front.
@1BABFC カタナストーン  // EN: Katana Stone
@1BAC1E 前向きに日本刀で斬る  // EN: Slashes forward with a katana.
@1BAC7C ウォーターナイフストーン  // EN: Water Knife Stone
@1BAC9E 前向きに水属性のナイフで刺す  // EN: Stabs forward with a water-element knife.
@1BACFC ウォータークラブストーン  // EN: Water Club Stone
@1BAD1E 前向きに水属性のこん棒でなぐる  // EN: Strikes forward with a water-element club.
@1BAD7C ウォーターソードストーン  // EN: Water Sword Stone
@1BAD9E 前向きに水属性の剣で斬る  // EN: Slashes forward with a water-element sword.
@1BADFC ウォーターアックスストーン  // EN: Water Axe Stone
@1BAE1E 前向きに水属性のオノをふりおろす  // EN: Swings down a water-element axe.
@1BAE7C ウォーターカタナストーン  // EN: Water Katana Stone
@1BAE9E 前向きに水属性の日本刀で斬る  // EN: Slashes forward with a water-element katana.
@1BAEFC ファイアナイフストーン  // EN: Fire Knife Stone
@1BAF1E 前向きに火属性のナイフで刺す  // EN: Stabs forward with a fire-element knife.
@1BAF7C ファイアクラブストーン  // EN: Fire Club Stone
@1BAF9E 前向きに火属性のこん棒でなぐる  // EN: Strikes forward with a fire-element club.
@1BAFFC ファイアソードストーン  // EN: Fire Sword Stone
@1BB01E 前向きに火属性の剣で斬る  // EN: Slashes forward with a fire-element sword.
@1BB07C ファイアアックスストーン  // EN: Fire Axe Stone
@1BB09E 前向きに火属性のオノをふりおろす  // EN: Swings down a fire-element axe.
@1BB0FC ファイアカタナストーン  // EN: Fire Katana Stone
@1BB11E 前向きに火属性の日本刀で斬る  // EN: Slashes forward with a fire-element katana.
@1BB17C リーフナイフストーン  // EN: Leaf Knife Stone
@1BB19E 前向きに木属性のナイフで刺す  // EN: Stabs forward with a wood-element knife.
@1BB1FC リーフクラブストーン  // EN: Leaf Club Stone
@1BB21E 前向きに木属性のこん棒でなぐる  // EN: Strikes forward with a wood-element club.
@1BB27C リーフソードストーン  // EN: Leaf Sword Stone
@1BB29E 前向きに木属性の剣で斬る  // EN: Slashes forward with a wood-element sword.
@1BB2FC リーフアックスストーン  // EN: Leaf Axe Stone
@1BB31E 前向きに木属性のオノをふりおろす  // EN: Swings down a wood-element axe.
@1BB37C リーフカタナストーン  // EN: Leaf Katana Stone
@1BB39E 前向きに木属性の日本刀で斬る  // EN: Slashes forward with a wood-element katana.
@1BB3FC ウィンドナイフストーン  // EN: Wind Knife Stone
@1BB41E 前向きに風属性のナイフで刺す  // EN: Stabs forward with a wind-element knife.
@1BB47C ウィンドクラブストーン  // EN: Wind Club Stone
@1BB49E 前向きに風属性のこん棒でなぐる  // EN: Strikes forward with a wind-element club.
@1BB4FC ウィンドソードストーン  // EN: Wind Sword Stone
@1BB51E 前向きに風属性の剣で斬る  // EN: Slashes forward with a wind-element sword.
@1BB57C ウィンドアックスストーン  // EN: Wind Axe Stone
@1BB59E 前向きに風属性のオノをふりおろす  // EN: Swings down a wind-element axe.
@1BB5FC ウィンドカタナストーン  // EN: Wind Katana Stone
@1BB61E 前向きに風属性の日本刀で斬る  // EN: Slashes forward with a wind-element katana.
@1BB67C アースナイフストーン  // EN: Earth Knife Stone
@1BB69E 前向きに地属性のナイフで刺す  // EN: Stabs forward with a earth-element knife.
@1BB6FC アースクラブストーン  // EN: Earth Club Stone
@1BB71E 前向きに地属性のこん棒でなぐる  // EN: Strikes forward with a earth-element club.
@1BB77C アースソードストーン  // EN: Earth Sword Stone
@1BB79E 前向きに地属性の剣で斬る  // EN: Slashes forward with a earth-element sword.
@1BB7FC アースアックスストーン  // EN: Earth Axe Stone
@1BB81E 前向きに地属性のオノをふりおろす  // EN: Swings down a earth-element axe.
@1BB87C アースカタナストーン  // EN: Earth Katana Stone
@1BB89E 前向きに地属性の日本刀で斬る  // EN: Slashes forward with a earth-element katana.
@1BB8FC サンダーナイフストーン  // EN: Thunder Knife Stone
@1BB91E 前向きに雷属性のナイフで刺す  // EN: Stabs forward with a lightning-element knife.
@1BB97C サンダークラブストーン  // EN: Thunder Club Stone
@1BB99E 前向きに雷属性のこん棒でなぐる  // EN: Strikes forward with a lightning-element club.
@1BB9FC サンダーソードストーン  // EN: Thunder Sword Stone
@1BBA1E 前向きに雷属性の剣で斬る  // EN: Slashes forward with a lightning-element sword.
@1BBA7C サンダーアックスストーン  // EN: Thunder Axe Stone
@1BBA9E 前向きに雷属性のオノをふりおろす  // EN: Swings down a lightning-element axe.
@1BBAFC サンダーカタナストーン  // EN: Thunder Katana Stone
@1BBB1E 前向きに雷属性の日本刀で斬る  // EN: Slashes forward with a lightning-element katana.
@1BBB7C ウォーターパワーストーン　ＣＬ１  // EN: Water Power Stone CL1
@1BBB9E 攻撃力を増やして水属性にチェンジ  // EN: Increases attack and changes to the water element.
@1BBBFC ウォーターパワーストーン　ＣＬ２  // EN: Water Power Stone CL2
@1BBC1E 攻撃力を増やして水属性にチェンジ  // EN: Increases attack and changes to the water element.
@1BBC7C ウォーターパワーストーン　ＣＬ３  // EN: Water Power Stone CL3
@1BBC9E 攻撃力を増やして水属性にチェンジ  // EN: Increases attack and changes to the water element.
@1BBCFC ウォーターパワーストーン　ＣＬ４  // EN: Water Power Stone CL4
@1BBD1E 攻撃力を増やして水属性にチェンジ  // EN: Increases attack and changes to the water element.
@1BBD7C ファイアパワーストーン　ＣＬ１  // EN: Fire Power Stone CL1
@1BBD9E 攻撃力を増やして火属性にチェンジ  // EN: Increases attack and changes to the fire element.
@1BBDFC ファイアパワーストーン　ＣＬ２  // EN: Fire Power Stone CL2
@1BBE1E 攻撃力を増やして火属性にチェンジ  // EN: Increases attack and changes to the fire element.
@1BBE7C ファイアパワーストーン　ＣＬ３  // EN: Fire Power Stone CL3
@1BBE9E 攻撃力を増やして火属性にチェンジ  // EN: Increases attack and changes to the fire element.
@1BBEFC ファイアパワーストーン　ＣＬ４  // EN: Fire Power Stone CL4
@1BBF1E 攻撃力を増やして火属性にチェンジ  // EN: Increases attack and changes to the fire element.
@1BBF7C リーフパワーストーン　ＣＬ１  // EN: Leaf Power Stone CL1
@1BBF9E 攻撃力を増やして木属性にチェンジ  // EN: Increases attack and changes to the wood element.
@1BBFFC リーフパワーストーン　ＣＬ２  // EN: Leaf Power Stone CL2
@1BC01E 攻撃力を増やして木属性にチェンジ  // EN: Increases attack and changes to the wood element.
@1BC07C リーフパワーストーン　ＣＬ３  // EN: Leaf Power Stone CL3
@1BC09E 攻撃力を増やして木属性にチェンジ  // EN: Increases attack and changes to the wood element.
@1BC0FC リーフパワーストーン　ＣＬ４  // EN: Leaf Power Stone CL4
@1BC11E 攻撃力を増やして木属性にチェンジ  // EN: Increases attack and changes to the wood element.
@1BC17C ウィンドパワーストーン　ＣＬ１  // EN: Wind Power Stone CL1
@1BC19E 攻撃力を増やして風属性にチェンジ  // EN: Increases attack and changes to the wind element.
@1BC1FC ウィンドパワーストーン　ＣＬ２  // EN: Wind Power Stone CL2
@1BC21E 攻撃力を増やして風属性にチェンジ  // EN: Increases attack and changes to the wind element.
@1BC27C ウィンドパワーストーン　ＣＬ３  // EN: Wind Power Stone CL3
@1BC29E 攻撃力を増やして風属性にチェンジ  // EN: Increases attack and changes to the wind element.
@1BC2FC ウィンドパワーストーン　ＣＬ４  // EN: Wind Power Stone CL4
@1BC31E 攻撃力を増やして風属性にチェンジ  // EN: Increases attack and changes to the wind element.
@1BC37C アースパワーストーン　ＣＬ１  // EN: Earth Power Stone CL1
@1BC39E 攻撃力を増やして地属性にチェンジ  // EN: Increases attack and changes to the earth element.
@1BC3FC アースパワーストーン　ＣＬ２  // EN: Earth Power Stone CL2
@1BC41E 攻撃力を増やして地属性にチェンジ  // EN: Increases attack and changes to the earth element.
@1BC47C アースパワーストーン　ＣＬ３  // EN: Earth Power Stone CL3
@1BC49E 攻撃力を増やして地属性にチェンジ  // EN: Increases attack and changes to the earth element.
@1BC4FC アースパワーストーン　ＣＬ４  // EN: Earth Power Stone CL4
@1BC51E 攻撃力を増やして地属性にチェンジ  // EN: Increases attack and changes to the earth element.
@1BC57C サンダーパワーストーン　ＣＬ１  // EN: Thunder Power Stone CL1
@1BC59E 攻撃力を増やして雷属性にチェンジ  // EN: Increases attack and changes to the lightning element.
@1BC5FC サンダーパワーストーン　ＣＬ２  // EN: Thunder Power Stone CL2
@1BC61E 攻撃力を増やして雷属性にチェンジ  // EN: Increases attack and changes to the lightning element.
@1BC67C サンダーパワーストーン　ＣＬ３  // EN: Thunder Power Stone CL3
@1BC69E 攻撃力を増やして雷属性にチェンジ  // EN: Increases attack and changes to the lightning element.
@1BC6FC サンダーパワーストーン　ＣＬ４  // EN: Thunder Power Stone CL4
@1BC71E 攻撃力を増やして雷属性にチェンジ  // EN: Increases attack and changes to the lightning element.
@1BC77C ウォーターコートストーン　ＣＬ１  // EN: Water Coat Stone CL1
@1BC79E 防御力を高めて水属性にチェンジ  // EN: Increases defense and changes to the water element.
@1BC7FC ウォーターコートストーン　ＣＬ２  // EN: Water Coat Stone CL2
@1BC81E 防御力を高めて水属性にチェンジ  // EN: Increases defense and changes to the water element.
@1BC87C ウォーターコートストーン　ＣＬ３  // EN: Water Coat Stone CL3
@1BC89E 防御力を高めて水属性にチェンジ  // EN: Increases defense and changes to the water element.
@1BC8FC ウォーターコートストーン　ＣＬ４  // EN: Water Coat Stone CL4
@1BC91E 防御力を高めて水属性にチェンジ  // EN: Increases defense and changes to the water element.
@1BC97C ファイアコートストーン　ＣＬ１  // EN: Fire Coat Stone CL1
@1BC99E 防御力を高めて火属性にチェンジ  // EN: Increases defense and changes to the fire element.
@1BC9FC ファイアコートストーン　ＣＬ２  // EN: Fire Coat Stone CL2
@1BCA1E 防御力を高めて火属性にチェンジ  // EN: Increases defense and changes to the fire element.
@1BCA7C ファイアコートストーン　ＣＬ３  // EN: Fire Coat Stone CL3
@1BCA9E 防御力を高めて火属性にチェンジ  // EN: Increases defense and changes to the fire element.
@1BCAFC ファイアコートストーン　ＣＬ４  // EN: Fire Coat Stone CL4
@1BCB1E 防御力を高めて火属性にチェンジ  // EN: Increases defense and changes to the fire element.
@1BCB7C リーフコートストーン　ＣＬ１  // EN: Leaf Coat Stone CL1
@1BCB9E 防御力を高めて木属性にチェンジ  // EN: Increases defense and changes to the wood element.
